ID	NOGNA-2M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-KL_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-HL_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-QR_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-ST_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-AB_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-KL_samtools_idxstats_miRNA_counts.txt
mmu-miR-6950-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0
mmu-miR-6950-5p	0	0	45	0	0	0	0	0	17	0	0	0	7	1	4	0	5	1
mmu-miR-6951-3p	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6951-5p	0	0	0	0	5	0	5	0	17	0	10	0	0	3	0	4	0	0
mmu-miR-6952-3p	0	0	0	0	4	0	11	0	0	0	0	0	1	5	10	10	3	1
mmu-miR-6952-5p	0	16	0	25	10	0	3	0	0	0	0	0	13	6	8	1	5	5
mmu-miR-6953-3p	14	0	36	14	0	0	8	14	0	0	0	0	15	5	7	14	10	6
mmu-miR-6953-5p	0	0	1	0	0	5	9	0	0	0	1	0	0	4	2	0	6	3
mmu-miR-6954-3p	0	0	0	0	11	2	3	0	0	0	0	0	0	1	0	0	1	3
mmu-miR-6954-5p	0	14	0	0	5	2	4	0	0	56	0	6	0	0	0	6	0	0
mmu-miR-6955-3p	0	0	0	0	4	0	0	0	0	0	0	16	3	3	3	10	3	0
mmu-miR-6955-5p	0	0	0	0	8	0	4	0	0	0	0	0	0	0	3	0	2	0
mmu-miR-6956-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
mmu-miR-6956-5p	0	0	10	0	2	0	0	0	0	0	0	0	1	0	0	0	2	2
mmu-miR-6957-3p	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
mmu-miR-6957-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
mmu-miR-6958-3p	11	0	51	0	14	6	28	0	0	0	34	12	14	30	17	13	11	26
mmu-miR-6958-5p	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6959-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
mmu-miR-6959-5p	0	0	0	0	0	9	0	0	0	0	0	0	0	3	1	2	2	1
mmu-miR-696	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0
mmu-miR-6960-3p	0	0	0	0	0	0	4	0	0	19	0	0	11	8	2	0	4	3
mmu-miR-6960-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
mmu-miR-6961-3p	54	0	1	110	1	0	24	0	0	0	0	22	8	6	2	23	8	6
mmu-miR-6961-5p	0	0	34	0	0	0	1	0	0	0	12	0	0	4	0	0	1	3
mmu-miR-6962-3p	0	0	0	0	0	0	1	0	0	0	0	0	4	6	2	3	5	0
mmu-miR-6962-5p	0	0	0	0	2	0	1	0	0	0	0	0	4	3	6	1	2	2
mmu-miR-6963-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	9	0	0
mmu-miR-6963-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1
mmu-miR-6964-3p	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
mmu-miR-6964-5p	0	0	0	22	0	0	0	0	0	0	0	0	6	0	1	2	2	0
mmu-miR-6965-3p	0	0	0	0	15	0	0	0	0	0	0	0	0	2	0	1	0	1
mmu-miR-6965-5p	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0
mmu-miR-6966-3p	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0
mmu-miR-6966-5p	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	1	2
mmu-miR-6967-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6967-5p	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0
mmu-miR-6968-3p	0	0	0	0	0	0	1	23	0	0	0	0	4	1	7	7	4	3
mmu-miR-6968-5p	17	39	52	43	28	33	32	1	17	0	66	10	18	23	11	10	13	8
mmu-miR-6969-3p	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6969-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-697	6	0	0	0	0	0	3	0	0	0	0	0	7	1	6	7	0	0
mmu-miR-6970-3p	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	1
mmu-miR-6970-5p	9	0	1	0	0	31	16	21	0	0	1	11	9	0	10	5	8	1
mmu-miR-6971-3p	0	12	0	0	17	8	0	0	0	0	0	0	2	2	1	0	8	0
mmu-miR-6971-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mmu-miR-6972-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6972-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0
mmu-miR-6973a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6973a-5p	0	20	0	0	1	0	11	7	0	0	0	3	0	0	5	0	2	1
mmu-miR-6973b-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
mmu-miR-6973b-5p	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	5	1
mmu-miR-6974-3p	8	0	60	17	5	36	1	0	0	0	0	0	4	0	0	0	0	30
mmu-miR-6974-5p	18	0	0	0	4	13	9	0	0	12	0	5	6	11	5	14	15	3
mmu-miR-6975-3p	0	0	0	0	5	8	1	0	0	0	0	0	0	3	5	0	5	6
mmu-miR-6975-5p	0	0	0	0	14	0	15	10	0	0	1	0	0	3	1	1	2	2
mmu-miR-6976-3p	0	0	0	0	1	0	0	0	0	0	15	0	0	0	4	0	0	2
mmu-miR-6976-5p	13	0	29	0	0	0	2	0	0	0	0	0	5	0	4	0	3	1
mmu-miR-6977-3p	0	0	0	0	0	0	0	0	0	0	0	0	9	9	2	0	2	0
mmu-miR-6977-5p	8	0	0	0	36	7	5	0	0	3	0	1	0	2	5	4	1	1
mmu-miR-6978-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6978-5p	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	2	4	2
mmu-miR-6979-3p	0	0	24	0	1	0	4	0	0	0	0	0	6	0	0	0	0	1
mmu-miR-6979-5p	0	0	0	0	3	0	11	37	0	0	0	0	0	0	0	0	1	6
mmu-miR-698-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-698-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
mmu-miR-6980-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
mmu-miR-6980-5p	32	0	0	0	5	0	3	0	0	0	0	0	0	0	1	0	3	0
mmu-miR-6981-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6981-5p	18	0	0	0	0	0	2	0	0	0	0	0	4	6	1	5	0	14
mmu-miR-6982-3p	15	0	0	0	0	0	5	0	0	0	11	0	4	6	1	0	5	1
mmu-miR-6982-5p	0	0	23	0	0	3	2	0	0	0	0	0	0	2	6	0	4	0
mmu-miR-6983-3p	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	1	2	0
mmu-miR-6983-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0
mmu-miR-6984-3p	4	9	0	0	1	0	6	0	0	0	0	15	3	5	0	0	4	0
mmu-miR-6984-5p	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	6	0	0
mmu-miR-6985-3p	0	0	0	0	7	0	3	0	0	0	23	0	2	6	6	2	2	2
mmu-miR-6985-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	5	2	3
mmu-miR-6986-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	1
mmu-miR-6986-5p	0	0	0	23	4	0	11	20	11	0	0	0	4	13	13	10	3	3
mmu-miR-6987-3p	0	0	0	0	0	0	1	5	0	0	0	0	0	3	9	2	1	0
mmu-miR-6987-5p	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	9	0
mmu-miR-6988-3p	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	2	0	0
mmu-miR-6988-5p	14	14	36	0	21	0	42	0	0	0	11	15	6	56	15	18	37	14
mmu-miR-6989-3p	1	0	1	0	4	0	1	0	0	0	0	0	0	6	2	2	1	6
mmu-miR-6989-5p	0	0	0	0	0	0	0	0	0	19	0	10	0	3	0	0	1	0
mmu-miR-6990-3p	0	0	0	0	13	8	0	0	0	0	14	0	0	4	1	3	2	0
mmu-miR-6990-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	5	0
mmu-miR-6991-3p	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	2	0
mmu-miR-6991-5p	24	0	0	0	0	0	2	0	0	0	0	0	5	0	1	0	0	2
mmu-miR-6992-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6992-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6993-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6993-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
mmu-miR-6994-3p	0	0	0	0	6	16	2	0	0	0	0	0	8	0	7	1	4	0
mmu-miR-6994-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	1
mmu-miR-6995-3p	0	0	36	0	11	7	4	0	0	0	0	0	4	2	3	7	6	5
mmu-miR-6995-5p	0	13	0	0	10	0	3	0	0	0	0	0	0	3	1	0	0	1
mmu-miR-6996-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
mmu-miR-6996-5p	0	0	29	20	3	29	1	0	0	7	0	0	0	5	0	4	18	4
mmu-miR-6997-3p	0	0	0	0	6	0	7	0	0	0	17	35	0	9	1	8	14	4
mmu-miR-6997-5p	0	0	0	0	0	0	6	0	0	0	0	0	0	6	10	5	5	0
mmu-miR-6998-3p	21	7	27	22	16	5	57	12	0	14	0	7	11	28	39	21	18	88
mmu-miR-6998-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3
mmu-miR-6999-3p	0	0	0	0	0	0	4	0	0	0	0	0	0	11	0	0	0	2
mmu-miR-6999-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0
mmu-miR-700-3p	514	722	437	557	568	472	861	505	424	486	336	531	467	842	931	629	798	399
mmu-miR-700-5p	119	33	50	71	231	99	331	149	102	136	135	224	204	280	402	351	254	110
mmu-miR-7000-3p	0	0	0	0	0	11	2	0	0	0	0	0	1	10	8	7	4	3
mmu-miR-7000-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
mmu-miR-7001-3p	0	0	0	0	0	0	0	0	25	17	0	0	2	0	0	0	0	3
mmu-miR-7001-5p	0	0	0	0	0	0	7	0	0	40	0	0	0	4	0	0	0	0
mmu-miR-7002-3p	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1
mmu-miR-7002-5p	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7003-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	6	0	1
mmu-miR-7003-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	5	9	3
mmu-miR-7004-3p	10	0	0	0	0	0	1	0	0	0	0	26	8	1	10	0	5	3
mmu-miR-7004-5p	0	0	0	0	1	10	0	0	0	0	18	0	4	2	8	1	3	1
mmu-miR-7005-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-7005-5p	0	0	1	0	7	10	11	0	0	0	0	0	0	0	2	0	1	1
mmu-miR-7006-3p	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	5	1	0
mmu-miR-7006-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
mmu-miR-7007-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7007-5p	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-7008-3p	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	6	4	0
mmu-miR-7008-5p	0	0	0	0	0	1	3	25	0	0	0	0	2	0	0	1	1	0
mmu-miR-7009-3p	0	0	0	0	0	0	9	0	0	0	0	0	0	2	3	8	2	1
mmu-miR-7009-5p	19	0	0	1	6	12	12	0	0	15	0	16	7	15	15	0	3	2
mmu-miR-701-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	5	1	0
mmu-miR-701-5p	9	0	14	0	2	11	5	0	0	0	0	4	15	4	16	10	1	7
mmu-miR-7010-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7010-5p	0	0	0	0	0	26	3	0	0	0	0	0	15	5	9	0	9	8
mmu-miR-7011-3p	0	0	0	0	3	0	6	0	0	0	0	0	9	9	7	2	8	0
mmu-miR-7011-5p	0	0	0	0	0	0	4	0	0	0	0	0	5	0	4	0	6	31
mmu-miR-7012-3p	0	1	21	35	4	10	6	0	0	0	0	0	6	1	0	2	1	1
mmu-miR-7012-5p	8	0	0	0	0	9	12	0	0	0	0	0	2	0	4	0	0	2
mmu-miR-7013-3p	0	0	0	0	0	0	0	0	0	0	15	0	0	1	1	0	0	0
mmu-miR-7013-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	1	1
mmu-miR-7014-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7014-5p	0	0	0	0	0	0	1	0	0	0	31	0	0	1	2	5	0	0
mmu-miR-7015-3p	0	0	0	0	0	0	6	0	0	0	0	0	0	0	11	0	7	1
mmu-miR-7015-5p	0	0	0	0	0	0	3	18	0	0	0	0	0	0	5	0	0	1
mmu-miR-7016-3p	0	0	0	0	0	7	10	0	0	0	0	0	5	0	9	6	3	2
mmu-miR-7016-5p	0	0	0	0	0	0	12	0	0	0	0	0	0	1	4	4	1	9
mmu-miR-7017-3p	0	0	0	0	5	0	3	0	0	0	0	0	0	4	3	0	0	3
mmu-miR-7017-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-7018-3p	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	3
mmu-miR-7018-5p	0	0	0	0	0	0	9	0	0	40	0	0	0	0	0	9	0	3
mmu-miR-7019-3p	29	25	0	0	9	21	21	0	0	11	31	23	14	18	17	14	8	10
mmu-miR-7019-5p	0	0	0	0	0	10	4	0	0	0	0	0	3	1	0	16	0	0
mmu-miR-702-3p	4	10	1	28	33	35	34	36	39	0	0	13	29	21	29	24	27	23
mmu-miR-702-5p	0	3	0	0	4	3	5	0	0	0	0	0	0	0	11	13	2	5
mmu-miR-7020-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
mmu-miR-7020-5p	0	0	0	1	0	1	1	1	1	0	0	1	2	1	1	1	0	1
mmu-miR-7021-3p	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	2	0	4
mmu-miR-7021-5p	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0
mmu-miR-7022-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7022-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	6	4
mmu-miR-7023-3p	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1	0	10	1
mmu-miR-7023-5p	0	0	0	0	0	6	5	0	0	0	0	0	4	0	1	3	8	0
mmu-miR-7024-3p	0	0	0	0	5	0	10	0	0	0	0	0	9	0	4	3	7	3
mmu-miR-7024-5p	0	0	0	0	6	7	6	0	0	0	0	0	12	0	5	2	4	3
mmu-miR-7025-3p	0	0	0	0	0	0	4	0	0	14	0	0	0	5	0	5	3	0
mmu-miR-7025-5p	13	0	0	31	2	0	5	0	0	0	0	8	0	5	1	0	0	3
mmu-miR-7026-3p	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	2
mmu-miR-7026-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
mmu-miR-7027-3p	0	0	0	0	13	0	8	0	0	0	0	0	2	3	1	3	4	2
mmu-miR-7027-5p	0	25	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2
mmu-miR-7028-3p	0	0	0	0	5	0	10	0	0	0	0	0	0	0	2	2	0	0
mmu-miR-7028-5p	0	0	0	0	0	3	0	0	0	16	0	0	4	2	2	1	0	4
mmu-miR-7029-3p	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7029-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-703	0	0	0	0	0	0	3	0	0	0	0	13	0	0	0	1	0	0
mmu-miR-7030-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2
mmu-miR-7030-5p	0	0	0	0	0	0	5	0	0	0	0	0	5	7	6	3	1	1
mmu-miR-7031-3p	0	22	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
mmu-miR-7031-5p	11	0	0	0	8	15	5	0	0	0	0	0	0	9	8	7	5	0
mmu-miR-7032-3p	0	0	0	0	7	0	6	0	0	0	0	0	0	5	7	0	6	2
mmu-miR-7032-5p	0	0	0	0	2	9	8	0	27	0	17	8	6	6	8	5	6	1
mmu-miR-7033-3p	0	0	0	0	1	0	2	0	0	0	0	0	8	0	2	9	0	0
mmu-miR-7033-5p	0	0	0	0	0	5	0	0	0	0	0	6	9	0	0	5	1	5
mmu-miR-7034-3p	0	0	0	0	0	0	8	0	0	0	0	0	3	4	9	6	0	0
mmu-miR-7034-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	4	1	5
mmu-miR-7035-3p	0	0	0	0	0	0	4	0	0	0	0	0	1	0	5	2	1	1
mmu-miR-7035-5p	0	0	0	0	0	0	1	0	0	0	1	0	3	0	4	3	4	0
mmu-miR-7036a-3p	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	6	0	2
mmu-miR-7036a-5p	0	0	0	0	0	0	3	0	1	0	0	0	6	1	0	0	0	3
mmu-miR-7036b-3p	0	9	16	0	0	0	6	0	0	0	0	7	5	0	8	4	2	6
mmu-miR-7036b-5p	0	0	0	0	13	0	12	0	0	0	0	0	0	2	0	0	0	1
mmu-miR-7037-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7037-5p	3	0	0	26	0	6	8	0	49	0	0	16	3	0	11	3	2	2
mmu-miR-7038-3p	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	2
mmu-miR-7038-5p	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	4	1
mmu-miR-7039-3p	0	0	0	0	0	0	0	0	0	26	0	0	1	5	0	7	0	0
mmu-miR-7039-5p	0	0	0	0	5	0	3	0	0	0	0	0	0	0	3	0	1	0
mmu-miR-704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
mmu-miR-7040-3p	0	0	0	18	7	6	0	0	0	33	0	8	7	0	1	0	0	1
mmu-miR-7040-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	4	2	0
mmu-miR-7041-3p	0	0	0	0	4	0	9	0	0	35	0	0	0	4	3	0	0	1
mmu-miR-7041-5p	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	3	0
mmu-miR-7042-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0
mmu-miR-7042-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-7043-3p	0	0	0	0	0	1	3	0	0	0	0	0	0	4	7	1	0	1
mmu-miR-7043-5p	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	1	0
mmu-miR-7044-3p	38	0	59	66	33	2	62	79	0	0	59	15	35	45	54	92	31	20
mmu-miR-7044-5p	10	0	23	0	42	13	26	59	21	47	0	25	19	22	23	32	39	12
mmu-miR-7045-3p	0	0	0	0	0	19	3	1	12	0	0	3	4	7	2	3	4	1
mmu-miR-7045-5p	10	98	77	0	39	12	84	20	31	32	0	0	11	28	44	20	20	20
mmu-miR-7046-3p	6	0	0	0	6	0	2	21	0	0	0	3	4	5	13	8	4	1
mmu-miR-7046-5p	0	15	0	0	0	15	0	0	0	0	0	0	3	2	4	3	0	0
mmu-miR-7047-3p	22	9	20	19	58	59	161	57	31	10	53	116	158	146	163	123	122	91
mmu-miR-7047-5p	0	13	0	0	0	20	0	1	0	0	0	39	2	10	0	2	1	0
mmu-miR-7048-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7048-5p	0	0	0	35	0	0	0	0	0	0	36	25	0	0	0	0	8	0
mmu-miR-7049-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2
mmu-miR-7049-5p	0	3	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0
mmu-miR-705	0	0	0	0	4	8	1	0	0	0	1	16	0	2	4	3	1	8
mmu-miR-7050-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
mmu-miR-7050-5p	0	0	0	0	4	5	0	27	0	0	0	0	16	13	4	5	16	6
mmu-miR-7051-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7051-5p	0	0	0	0	0	0	4	0	0	0	0	0	0	4	2	0	0	1
mmu-miR-7052-3p	0	0	0	0	17	0	10	0	0	0	18	0	6	10	16	14	18	11
mmu-miR-7052-5p	0	0	0	0	12	4	2	0	0	0	0	0	0	6	0	4	3	3
mmu-miR-7053-3p	0	0	0	0	0	0	8	0	0	0	0	0	0	0	3	0	0	0
mmu-miR-7053-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	2
mmu-miR-7054-3p	0	0	0	0	10	5	2	0	7	0	0	4	10	8	3	4	6	3
mmu-miR-7054-5p	0	0	0	44	12	0	1	0	0	0	0	0	3	2	3	0	0	3
mmu-miR-7055-3p	0	0	0	0	0	0	9	0	0	0	0	7	0	0	5	3	0	0
mmu-miR-7055-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
mmu-miR-7056-3p	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	5	13	1
mmu-miR-7056-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	15	2	4
mmu-miR-7057-3p	0	9	0	83	60	58	51	123	80	0	24	26	51	33	54	30	13	29
mmu-miR-7057-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6
mmu-miR-7058-3p	16	0	1	0	0	0	8	0	0	1	1	28	2	13	15	7	8	4
mmu-miR-7058-5p	0	9	0	0	0	0	2	0	0	0	0	0	0	0	5	0	4	2
mmu-miR-7059-3p	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0
mmu-miR-7059-5p	0	0	51	35	5	0	0	0	0	0	0	4	7	3	0	0	1	2
mmu-miR-706	15	41	43	28	48	48	49	23	13	0	20	17	12	17	21	30	12	11
mmu-miR-7060-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7060-5p	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	0	0
mmu-miR-7061-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
mmu-miR-7061-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-7062-3p	17	10	0	42	0	6	5	12	0	0	0	0	0	8	6	2	3	0
mmu-miR-7062-5p	0	9	0	0	1	0	0	0	0	0	0	9	0	1	1	8	2	1
mmu-miR-7063-3p	0	0	0	0	4	0	2	0	0	0	0	5	0	0	4	0	2	0
mmu-miR-7063-5p	0	0	0	0	15	0	2	0	0	0	0	19	5	10	6	8	15	3
mmu-miR-7064-3p	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7064-5p	0	0	0	0	0	0	3	0	15	0	0	11	0	0	1	0	8	0
mmu-miR-7065-3p	0	7	23	0	6	0	1	0	0	0	0	0	9	3	3	0	4	0
mmu-miR-7065-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
mmu-miR-7066-3p	0	0	0	0	17	26	28	0	16	0	0	9	23	19	8	19	5	7
mmu-miR-7066-5p	0	3	0	6	3	1	3	0	0	8	0	0	2	2	17	2	14	6
mmu-miR-7067-3p	0	0	0	0	0	0	4	0	1	0	0	1	0	3	1	0	4	3
mmu-miR-7067-5p	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	1
mmu-miR-7068-3p	0	0	33	0	0	0	1	13	0	0	0	0	0	0	8	2	1	0
mmu-miR-7068-5p	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0
mmu-miR-7069-3p	0	0	0	0	2	7	15	0	14	0	0	4	0	9	7	0	0	3
mmu-miR-7069-5p	16	28	0	0	0	8	1	0	0	0	0	0	0	9	22	0	2	2
mmu-miR-707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-7070-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0
mmu-miR-7070-5p	0	0	0	0	7	0	1	0	0	1	0	8	9	5	8	2	3	2
mmu-miR-7071-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
mmu-miR-7071-5p	0	0	0	0	0	0	3	0	0	0	0	13	7	0	0	0	5	5
mmu-miR-7072-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
mmu-miR-7072-5p	14	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
mmu-miR-7073-3p	0	0	0	0	13	0	11	0	0	0	0	0	2	12	11	2	9	6
mmu-miR-7073-5p	0	0	0	0	2	3	2	0	0	0	0	0	6	4	0	3	2	1
mmu-miR-7074-3p	0	0	15	0	10	0	0	0	0	0	17	0	0	0	0	4	11	4
mmu-miR-7074-5p	0	0	19	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7075-3p	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	3	3
mmu-miR-7075-5p	0	0	0	0	3	0	0	0	0	12	0	0	0	0	8	0	0	1
mmu-miR-7076-3p	5	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0
mmu-miR-7076-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	3
mmu-miR-7077-3p	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	4
